三	出现次数为2884 	哈夫曼编码为110111000
国	出现次数为1178 	哈夫曼编码为1000101111
演	出现次数为26   	哈夫曼编码为1111111000110101
义	出现次数为702  	哈夫曼编码为10111111110
  	出现次数为956  	哈夫曼编码为0011010101
上	出现次数为4154 	哈夫曼编码为01010110
卷	出现次数为70   	哈夫曼编码为01101010101011
\n	出现次数为3172 	哈夫曼编码为111101101
罗	出现次数为50   	哈夫曼编码为111110001011110
贯	出现次数为26   	哈夫曼编码为000000111101010
中	出现次数为5424 	哈夫曼编码为10110111
滚	出现次数为68   	哈夫曼编码为01100110001010
长	出现次数为2154 	哈夫曼编码为011000100
江	出现次数为1558 	哈夫曼编码为1111010000
东	出现次数为1662 	哈夫曼编码为1111111111
逝	出现次数为18   	哈夫曼编码为1000001001100010
水	出现次数为1376 	哈夫曼编码为1011101000
，	出现次数为88016	哈夫曼编码为1100
浪	出现次数为46   	哈夫曼编码为110111101111101
花	出现次数为110  	哈夫曼编码为0001100000101
淘	出现次数为2    	哈夫曼编码为0101001010101101110
尽	出现次数为1300 	哈夫曼编码为1010111010
英	出现次数为350  	哈夫曼编码为101111111010
雄	出现次数为484  	哈夫曼编码为00111011001
。	出现次数为49406	哈夫曼编码为11101
是	出现次数为3242 	哈夫曼编码为111110111
非	出现次数为1110 	哈夫曼编码为0111000100
成	出现次数为1048 	哈夫曼编码为0101101000
败	出现次数为1222 	哈夫曼编码为1001100100
转	出现次数为226  	哈夫曼编码为001000110111
头	出现次数为928  	哈夫曼编码为0010101110
空	出现次数为270  	哈夫曼编码为011001000000
青	出现次数为370  	哈夫曼编码为111000001001
山	出现次数为2352 	哈夫曼编码为100001111
依	出现次数为334  	哈夫曼编码为101100101000
旧	出现次数为326  	哈夫曼编码为101011101110
在	出现次数为3308 	哈夫曼编码为111111110
几	出现次数为210  	哈夫曼编码为000001011110
度	出现次数为172  	哈夫曼编码为1011100001111
夕	出现次数为90   	哈夫曼编码为11011001010101
阳	出现次数为1090 	哈夫曼编码为0110011010
红	出现次数为206  	哈夫曼编码为1111111000111
白	出现次数为522  	哈夫曼编码为01011000101
发	出现次数为808  	哈夫曼编码为11111001001
渔	出现次数为20   	哈夫曼编码为1001011101101111
樵	出现次数为20   	哈夫曼编码为1010001111100000
渚	出现次数为22   	哈夫曼编码为1101001110111010
惯	出现次数为40   	哈夫曼编码为101000111010000
看	出现次数为1090 	哈夫曼编码为0110011011
秋	出现次数为188  	哈夫曼编码为1110010001110
月	出现次数为562  	哈夫曼编码为01110011011
春	出现次数为250  	哈夫曼编码为010010001100
风	出现次数为636  	哈夫曼编码为10100010001
一	出现次数为8182 	哈夫曼编码为0100111
壶	出现次数为16   	哈夫曼编码为0101000110111100
浊	出现次数为24   	哈夫曼编码为1110000010001111
酒	出现次数为720  	哈夫曼编码为11011011001
喜	出现次数为1180 	哈夫曼编码为1000110101
相	出现次数为3234 	哈夫曼编码为111110100
逢	出现次数为156  	哈夫曼编码为1001111001001
古	出现次数为222  	哈夫曼编码为000110111100
今	出现次数为3928 	哈夫曼编码为00111110
多	出现次数为1088 	哈夫曼编码为0110010101
少	出现次数为514  	哈夫曼编码为01010011011
事	出现次数为2598 	哈夫曼编码为101011100
都	出现次数为1522 	哈夫曼编码为1110011011
付	出现次数为438  	哈夫曼编码为00011000000
笑	出现次数为968  	哈夫曼编码为0011101101
谈	出现次数为84   	哈夫曼编码为10110100111010
-	出现次数为208  	哈夫曼编码为1111111110101
调	出现次数为234  	哈夫曼编码为001011011000
寄	出现次数为48   	哈夫曼编码为111100001011010
《	出现次数为110  	哈夫曼编码为0001100010110
临	出现次数为364  	哈夫曼编码为110111101000
仙	出现次数为52   	哈夫曼编码为111111100011011
》	出现次数为110  	哈夫曼编码为0001100010111
第	出现次数为474  	哈夫曼编码为00110011000
回	出现次数为3460 	哈夫曼编码为00010011
宴	出现次数为330  	哈夫曼编码为101100000110
桃	出现次数为64   	哈夫曼编码为01001101010101
园	出现次数为118  	哈夫曼编码为0010110111101
豪	出现次数为72   	哈夫曼编码为01110110111111
杰	出现次数为80   	哈夫曼编码为10100011010010
结	出现次数为346  	哈夫曼编码为101111001001
斩	出现次数为1006 	哈夫曼编码为0100100111
黄	出现次数为1256 	哈夫曼编码为1001111101
巾	出现次数为162  	哈夫曼编码为1010011100101
首	出现次数为786  	哈夫曼编码为11110101100
立	出现次数为1086 	哈夫曼编码为0110010011
功	出现次数为748  	哈夫曼编码为11100011010
话	出现次数为180  	哈夫曼编码为1101100101011
说	出现次数为2826 	哈夫曼编码为110101001
天	出现次数为2698 	哈夫曼编码为101101011
下	出现次数为5618 	哈夫曼编码为11010001
大	出现次数为8444 	哈夫曼编码为0101110
势	出现次数为862  	哈夫曼编码为0001000101
分	出现次数为1804 	哈夫曼编码为001000111
久	出现次数为702  	哈夫曼编码为10111111111
必	出现次数为2486 	哈夫曼编码为100110111
合	出现次数为1022 	哈夫曼编码为0100110110
周	出现次数为1058 	哈夫曼编码为0101111110
末	出现次数为46   	哈夫曼编码为111000000000010
七	出现次数为442  	哈夫曼编码为00011001110
争	出现次数为260  	哈夫曼编码为010101011011
并	出现次数为960  	哈夫曼编码为0011011010
入	出现次数为3232 	哈夫曼编码为111110011
于	出现次数为5606 	哈夫曼编码为11010000
秦	出现次数为166  	哈夫曼编码为1011000100110
及	出现次数为794  	哈夫曼编码为11110111000
灭	出现次数为278  	哈夫曼编码为011010101011
之	出现次数为15798	哈夫曼编码为010000
后	出现次数为4432 	哈夫曼编码为01110000
楚	出现次数为72   	哈夫曼编码为10000001111000
、	出现次数为6158 	哈夫曼编码为11110010
汉	出现次数为1426 	哈夫曼编码为1101011111
又	出现次数为2402 	哈夫曼编码为100100011
朝	出现次数为662  	哈夫曼编码为10110001000
自	出现次数为3488 	哈夫曼编码为00010111
